PROPERTY_TOTAL_VALUE,AREA_EN,ACTUAL_AREA,PROCEDURE_YEAR,PROCEDURE_NUMBER,INSTANCE_DATE,ACTUAL_WORTH,PROCEDURE_AREA,PROPERTY_TYPE_EN,PROP_SUB_TYPE_EN
2500000,Hor Al Anz,260.6,2026,2690,10-06-2026 15.32,2500000,260.6,Land,Commercial
2500023,Al Bada,232.26,2026,1741,01-04-2026 17.37,2500023,232.26,Land,Residential
2500023,Al Satwa,232.26,2026,1356,03-03-2026 10.47,2500023,232.26,Land,Residential
2501520,Business Bay,126.2,2026,2303,08-05-2026 14.48,2501519.76,126.2,Unit,Flat
2505922,Naif,291.01,2026,1976,17-04-2026 0.43,2505922,291.01,Land,Commercial
2506833,Al Barshaa South Third,233.6,2026,1147,17-02-2026 14.05,2506833.48,233.6,Unit,Flat
2510677,Al Thanyah Third,120.22,2026,88,06-01-2026 10.47,2510676.96,120.22,Unit,Flat
2513382,Marsa Dubai,159.84,2026,2015,18-04-2026 9.08,2513382.45,159.84,Unit,Flat
2517998,Nad Al Shiba First,607.61,2026,2532,01-06-2026 10.26,2517998,607.61,Land,Commercial
2519990,Al Bada,334.45,2026,2476,21-05-2026 11.49,2519990,334.45,Land,Residential / Attached Villas
2534985,Al Bada,362.32,2026,1893,12-04-2026 13.14,2534985,362.32,Land,Residential
2543000,Madinat Dubai Almelaheyah,72.12,2026,2650,09-06-2026 8.56,2543000,72.12,Unit,Flat
2561906,Um Hurair Second,152.9,2026,1997,17-04-2026 11.39,2561905.76,152.9,Unit,Flat
2593265,Al Yufrah 1,174,2026,2806,18-06-2026 20.21,2593264.95,174,Building,Villa
2600000,Al Bada,334.46,2026,930,10-02-2026 10.22,2600000,334.46,Land,Residential
2600000,Hor Al Anz East,1026.58,2026,1536,17-03-2026 12.17,2600000,1026.58,Land,Residential
2600000,Al Waheda,929.03,2026,1443,10-03-2026 11.37,2600000,929.03,Land,Residential
2600000,Al Bada,334.45,2026,929,10-02-2026 10.20,2600000,334.45,Land,Residential
2600000,Hor Al Anz East,1120.74,2026,575,23-01-2026 10.53,2600000,1021.93,Land,Residential
2606053,Al Yufrah 1,174,2026,2251,05-05-2026 12.32,2606053.46,174,Building,Villa
2619457,Al Khairan First,107.79,2026,595,26-01-2026 8.54,2619457.11,107.79,Unit,Flat
2620430,Nad Al Shiba First,189.03,2026,1638,26-03-2026 10.38,2620430.13,189.03,Unit,Flat
2622950,Al Wasl,81.47,2026,1705,31-03-2026 19.50,2622950,81.47,Unit,Flat
2629700,Palm Jumeirah,106.09,2026,2964,26-06-2026 12.05,2629700.23,106.09,Unit,Flat
2632226,Al Jadaf,176.82,2026,2955,26-06-2026 11.27,2632226.03,176.82,Unit,Flat
2642161,Al Muteena,223.15,2026,1531,17-03-2026 10.35,2642161,223.15,Land,Commercial / Offices / Residential
2652186,Al Yufrah 1,174,2026,1868,09-04-2026 15.05,2652185.89,174,Building,Villa
2660537,Burj Khalifa,130.29,2026,2407,18-05-2026 13.34,2660537.13,130.29,Unit,Flat
2660709,Palm Jumeirah,106.07,2026,1769,05-04-2026 6.40,2660708.52,106.07,Unit,Flat
2663988,Muhaisanah Third,1374.96,2026,2614,05-06-2026 10.37,2663988,1374.96,Land,Residential
2671093,Business Bay,200.12,2026,2959,26-06-2026 11.40,2671093.35,200.12,Unit,Flat
2672457,Al Khairan First,109.79,2026,596,26-01-2026 9.00,2672457.22,109.79,Unit,Flat
2689731,Zaabeel Second,101.32,2026,446,19-01-2026 8.40,2689731.46,101.32,Unit,Flat
2699987,Al Layan1,1393.54,2026,1725,01-04-2026 11.24,2699987,1393.54,Land,Industrial
2700000,Al Rashidiya,929.01,2026,618,26-01-2026 13.08,2700000,929.01,Land,Residential
2700000,Al Jafliya,334.45,2026,604,26-01-2026 11.08,2700000,334.45,Land,Residential
2700000,Al Rashidiya,929.03,2026,1183,20-02-2026 9.53,2700000,929.03,Land,
2700000,Al Goze First,594.58,2026,773,03-02-2026 11.02,2700000,594.58,Land,Residential
2700000,Abu Hail,566.18,2026,2950,26-06-2026 10.05,2700000,566.18,Land,Commercial
2700000,Al Rashidiya,910.46,2026,1678,30-03-2026 14.32,2700000,910.46,Land,Residential
2700000,Wadi Al Safa 5,160.2,2026,1522,16-03-2026 13.33,2700000,160.2,Building,Villa
2700006,Al Twar Fourth,1393.55,2026,2175,28-04-2026 14.20,2700006,1393.55,Land,Residential
2706832,Al Ttay,1143.06,2026,154,07-01-2026 13.10,2706832,1143.06,Land,
2721248,Burj Khalifa,101.86,2026,1729,01-04-2026 13.39,2721248.17,101.86,Unit,Flat
2721535,Al Wasl,107.63,2026,2057,21-04-2026 11.21,2721535.46,107.63,Unit,Flat
2723400,Al Khairan First,102.04,2026,658,28-01-2026 10.02,2723399.74,102.04,Unit,Hotel Apartment
2730069,Hor Al Anz,211.36,2026,2186,29-04-2026 11.54,2730069,211.36,Land,Residential
2739535,Jabal Ali First,304.38,2026,87,06-01-2026 10.24,2739534.8,304.38,Unit,Flat
2750026,Al Satwa,232.26,2026,1422,09-03-2026 13.09,2750026,232.26,Land,Residential
2750026,Al Bada,232.26,2026,534,21-01-2026 16.11,2750026,232.26,Land,Commercial
2772998,Marsa Dubai,223.76,2026,2072,22-04-2026 9.43,2772997.93,223.76,Unit,Flat
2779009,Marsa Dubai,126.44,2026,1364,03-03-2026 13.43,2779008.92,126.44,Unit,Flat
2800000,Muhaisanah First,929.03,2026,2488,21-05-2026 11.02,2800000,929.03,Land,Residential
2800000,Al Bada,362.32,2026,315,13-01-2026 14.53,2800000,362.32,Land,Residential
2800000,Al Twar First,929,2026,2853,23-06-2026 12.42,2800000,929,Land,Government Housing
2812670,Marsa Dubai,104.04,2026,1789,06-04-2026 15.50,2812669.5,104.04,Unit,Flat
2816096,Business Bay,124.63,2026,1650,26-03-2026 14.26,2816096.12,124.63,Unit,Flat
2817591,Trade Center First,132.5,2026,2520,25-05-2026 11.16,2817591.18,132.5,Unit,Office
2817804,Trade Center First,132.51,2026,2522,25-05-2026 14.02,2817803.83,132.51,Unit,Office
2818787,Burj Khalifa,157.19,2026,2878,24-06-2026 15.17,2818787.17,157.19,Unit,Flat
2819088,Hadaeq Sheikh Mohammed Bin Rashid,292.82,2026,1603,24-03-2026 12.42,2819087.5,292.82,Building,Villa
2840954,Palm Jumeirah,99.98,2026,2494,21-05-2026 14.13,2840953.95,99.98,Unit,Flat
2856588,Mirdif,884.62,2026,2365,13-05-2026 12.42,2856588,884.62,Land,Residential
2857815,Hor Al Anz,442.5,2026,1185,20-02-2026 13.44,2857815,442.5,Land,Commercial
2875092,Saih Shuaib 1,890.35,2026,2129,27-04-2026 8.24,2875092,890.35,Land,
2881195,Al Khawaneej Second,892.24,2026,1444,10-03-2026 11.46,2881195,892.24,Land,
2881284,Al Kheeran,258.67,2026,955,11-02-2026 10.52,2881283.98,258.67,Unit,Flat
2899041,Al Raffa,269.33,2026,2582,03-06-2026 15.41,2899041,269.33,Land,Commercial
2906597,Al Bada,192.88,2026,2576,03-06-2026 13.19,2906597,192.88,Land,Residential
2948890,Al Hebiah Sixth,171.16,2026,1780,06-04-2026 12.29,2948889.68,171.16,Unit,Flat
2957489,Dubai Investment Park Second,549.52,2026,2751,17-06-2026 7.21,2957489,549.52,Land,
2962236,Burj Khalifa,161.37,2026,273,12-01-2026 16.42,2962235.81,161.37,Unit,Flat
2964329,Al Barsha South Fourth,206.91,2026,1212,23-02-2026 12.55,2964328.89,206.91,Unit,Flat
2971787,Palm Jumeirah,144.07,2026,2351,12-05-2026 12.43,2971786.5,144.07,Unit,Flat
2976294,Al Rashidiya,921.69,2026,890,09-02-2026 11.21,2976294,921.69,Land,Cooling Station
2997617,Al Layan1,696.22,2026,2184,29-04-2026 10.24,2997617,696.22,Land,Labor Camp
2999996,Mirdif,929.03,2026,641,27-01-2026 10.23,2999996,929.03,Land,Residential
2999996,Mirdif,929.03,2026,588,24-01-2026 13.03,2999996,929.03,Land,Residential
3000000,Al Hebiah Sixth,168.13,2026,746,02-02-2026 15.23,3000000,168.13,Building,Villa
3000000,Al Hebiah Sixth,168.04,2026,747,02-02-2026 15.33,3000000,168.04,Building,Villa
3000000,Al Hebiah Sixth,168,2026,750,02-02-2026 15.44,3000000,168,Building,Villa
3000000,Al Hebiah Sixth,168,2026,771,03-02-2026 9.30,3000000,168,Building,Villa
3000000,Hadaeq Sheikh Mohammed Bin Rashid,136.34,2026,2542,01-06-2026 15.48,3000000,136.34,Building,Villa
3000000,Al Hebiah Sixth,206.89,2026,2540,01-06-2026 12.49,3000000,206.89,Land,Residential
3000000,Al Twar First,929.03,2026,243,12-01-2026 8.57,3000000,929.03,Land,Government Housing
3000000,Al Goze Fourth,737.91,2026,551,22-01-2026 15.16,3000000,738,Land,
3000000,Al Murqabat,296.34,2026,3032,30-06-2026 13.09,3000000,296.34,Land,Commercial
3000000,Ras Al Khor Industrial Second,1858.06,2026,1646,26-03-2026 12.15,3000000,1858.06,Land,Industrial
3000000,Al Bada,334.45,2026,744,02-02-2026 15.07,3000000,334.45,Land,Residential / Attached Villas
3000000,Abu Hail,696.81,2026,2830,22-06-2026 9.09,3000000,696.81,Land,Commercial
3000028,Al Satwa,232.26,2026,475,20-01-2026 9.20,3000028,232.26,Land,Residential
3000157,Um Suqaim Second,464.54,2026,2486,21-05-2026 10.22,3000157,464.54,Land,Residential
3002353,Al Khawaneej Second,929.76,2026,670,28-01-2026 22.35,3002353,929.76,Land,
3024979,Hor Al Anz,562.07,2026,2670,09-06-2026 13.25,3024979,562.06,Land,Commercial
3030381,Marsa Dubai,135.92,2026,1219,23-02-2026 20.19,3030381.27,135.92,Unit,Flat
3038606,Wadi Al Safa 7,403.28,2026,2159,27-04-2026 19.13,3038606,403.28,Land,Land
3065855,Al Ttay,1139.32,2026,265,12-01-2026 13.33,3065855,1139.31,Land,Industrial
3065882,Al Ttay,1139.32,2026,263,12-01-2026 13.24,3065882,1139.32,Land,Industrial
3082177,Al Thanyah Fifth,196.95,2026,1251,24-02-2026 12.40,3082177.04,196.95,Unit,Flat
3087069,Saih Shuaib 1,988.96,2026,2489,21-05-2026 11.53,3087069,988.96,Land,
3100000,Hor Al Anz,211.36,2026,2157,27-04-2026 14.22,3100000,211.36,Land,Residential
3100035,Saih Shuaib 1,960.01,2026,1928,15-04-2026 13.28,3100035,960.01,Land,
3106942,Business Bay,179.05,2026,2278,06-05-2026 13.19,3106941.87,179.05,Unit,Office
3112346,Wadi Al Safa 7,195.57,2026,556,22-01-2026 17.08,3112345.92,195.57,Building,Villa
3113826,Al Kifaf,139.55,2026,2698,11-06-2026 10.09,3113826.3,139.55,Unit,Flat
3125626,Me'Aisem First,246.87,2026,1774,06-04-2026 10.49,3125626.24,246.87,Unit,Flat
3131262,Hor Al Anz,342.16,2026,1963,16-04-2026 11.50,3131262,342.24,Land,Commercial
3136977,Saih Shuaib 1,971.45,2026,2014,17-04-2026 15.11,3136977,971.45,Land,
3140343,Burj Khalifa,117.05,2026,1068,16-02-2026 8.52,3140342.89,117.05,Unit,Flat
3143770,Zaabeel Second,122.12,2026,1412,09-03-2026 2.28,3143770,122.12,Unit,Flat
3150905,Saih Shuaib 1,1009.41,2026,2492,21-05-2026 13.28,3150905,1009.41,Land,
3163001,Burj Khalifa,117.44,2026,1681,30-03-2026 19.08,3163001.4,117.44,Unit,Flat
3167525,Wadi Al Safa 7,420.39,2026,2165,28-04-2026 9.50,3167525,420.39,Land,Land
3199946,Al Satwa,594.58,2026,562,23-01-2026 8.39,3199946,594.57,Land,Residential
3200000,Wadi Al Safa 5,145.07,2026,1260,24-02-2026 13.46,3200000,145.07,Building,Villa
3200000,Wadi Al Safa 7,271.47,2026,2180,28-04-2026 15.28,3200000,271.47,Building,Villa
3210371,Al Hebiah First,300.79,2026,1806,07-04-2026 23.30,3210371.28,300.79,Building,Villa
3213150,Um Hurair Second,194.31,2026,2002,17-04-2026 12.00,3213150.02,194.31,Unit,Flat
3216146,Dubai Investment Park Second,597.58,2026,2308,11-05-2026 8.36,3216146,597.58,Land,
3227067,Burj Khalifa,157.96,2026,2379,14-05-2026 12.40,3227067.13,157.96,Unit,Office
3229170,Al Rowaiyah Third,3000,2026,730,02-02-2026 12.53,3229170,3000,Land,
3233002,World Islands,107.27,2026,91,06-01-2026 11.43,3233002,107.27,Unit,Hotel Rooms
3242220,Marsa Dubai,128.49,2026,2793,18-06-2026 12.09,3242219.97,128.49,Unit,Flat
3242759,Wadi Al Safa 3,860.75,2026,981,11-02-2026 14.19,3242759,860.75,Land,Residential
3257806,Saih Shuaib 1,1080.93,2026,2636,08-06-2026 13.52,3257806,1080.93,Land,
3263431,Al Hamriya,336.87,2026,1696,31-03-2026 10.36,3263431,336.87,Land,Commercial
3272226,Wadi Al Safa 7,608,2026,19,02-01-2026 11.47,3272226,608,Land,Residential
3275301,Al Hebiah First,315.38,2026,1807,07-04-2026 23.35,3275301.23,315.38,Building,Villa
3279007,Al Baraha,304.63,2026,1657,27-03-2026 10.43,3279007,304.63,Land,Residential
3290959,Business Bay,169.05,2026,1332,02-03-2026 9.07,3290959.04,169.05,Unit,Office
3294397,Burj Khalifa,154.5,2026,1354,03-03-2026 10.20,3294397.19,154.5,Unit,Flat
3298834,Hor Al Anz,211.36,2026,1539,17-03-2026 12.52,3298834,211.36,Land,Residential
3299936,Jabal Ali Industrial First,1393.52,2026,2583,03-06-2026 15.49,3299936,1393.52,Land,
3300000,Al Bada,386.66,2026,2321,11-05-2026 13.21,3300000,386.66,Land,
3300000,Hor Al Anz,211.35,2026,898,09-02-2026 12.42,3300000,211.35,Land,Residential
3307316,Dubai Investment Park Second,614.52,2026,2306,11-05-2026 8.14,3307316,614.52,Land,
3310480,Marsa Dubai,146.42,2026,684,29-01-2026 13.49,3310479.81,146.42,Unit,Flat
3311637,Al Aweer Second,6185.48,2026,1947,16-04-2026 9.33,26631955,6185.48,Land,Residential
3334333,Port Saeed,619.54,2026,2243,05-05-2026 10.15,3334333,619.54,Land,Commercial
3351410,Um Suqaim First,479.01,2026,2483,21-05-2026 9.41,3351410,479.01,Land,Residential
3380393,Al Jadaf,174.64,2026,450,19-01-2026 9.05,3380392.8,174.64,Unit,Flat
3390666,Saih Shuaib 1,900.01,2026,184,08-01-2026 13.36,3390666,900.01,Land,
3400000,Al Khawaneej Second,1043.02,2026,2484,21-05-2026 9.56,3400000,1043.02,Land,
3400000,Al Waheda,1281.6,2026,1624,25-03-2026 12.09,3400000,1281.6,Land,Government Housing
3419987,Abu Hail,334.45,2026,1002,12-02-2026 10.05,3419987,334.45,Land,Residential
3428673,Burj Khalifa,159.85,2026,1145,17-02-2026 14.00,3428673.23,159.85,Unit,Flat
3446642,Nadd Hessa,1185.94,2026,1671,30-03-2026 12.03,3446642,1185.94,Land,
3455573,Al Hebiah Sixth,181.24,2026,2962,26-06-2026 11.55,3455573.05,181.24,Unit,Flat
3463553,Marsa Dubai,346.11,2026,167,08-01-2026 9.57,3463552.63,346.11,Unit,Flat
3487504,Wadi Al Safa 7,405,2026,2777,17-06-2026 17.35,3487504,405,Land,Residential
3494276,Al Khawaneej Second,1159.39,2026,1171,19-02-2026 12.23,3494276,1159.39,Land,Government Housing
3497059,Palm Jumeirah,147.04,2026,103,06-01-2026 14.39,3497059.18,147.04,Unit,Flat
3499995,Al Goze First,929.03,2026,1501,15-03-2026 12.25,3499995,929.03,Land,Residential
3500000,Al Thanayah Fourth,172.29,2026,804,04-02-2026 9.27,3500000,172.29,Building,Villa
3500000,Hor Al Anz,211,2026,1880,10-04-2026 10.16,3500000,211,Land,Residential
3500000,Al Satwa,594.58,2026,316,13-01-2026 14.59,3500000,594.58,Land,Residential
3500000,Muhaisanah Third,1393.55,2026,1434,10-03-2026 10.31,3500000,1393.55,Land,Residential
3500000,Al Jafliya,334.45,2026,3013,30-06-2026 9.12,3500000,334.45,Land,Residential
3500000,Al Warqa Second,1204.67,2026,2996,29-06-2026 14.00,3500000,1204.67,Land,Residential
3500000,Al Twar Fourth,1393.55,2026,473,20-01-2026 8.45,3500000,1393.55,Land,Residential
3500000,Al Jafliya,428.93,2026,922,10-02-2026 9.19,3500000,428.93,Land,Residential
3500000,Al Twar Second,1393.55,2026,1952,16-04-2026 10.15,3500000,1393.55,Land,Residential
3500000,Al Murqabat,231.33,2026,841,05-02-2026 11.47,3500000,231.33,Land,Commercial
3516760,Saih Shuaib 1,933.48,2026,232,09-01-2026 16.44,3516760,933.48,Land,
3521636,Al Mararr,251.67,2026,2314,11-05-2026 10.38,3521636,251.67,Land,Commercial
3521746,Burj Khalifa,146.14,2026,2485,21-05-2026 10.14,3521746.47,146.14,Unit,Flat
3523670,Saih Shuaib 1,1023,2026,2297,07-05-2026 22.15,3523670,1023,Land,
3552671,Business Bay,204.59,2026,2272,06-05-2026 11.20,3552671.31,204.59,Unit,Office
3561365,Al Satwa,236.33,2026,2696,11-06-2026 9.50,3561365,236.33,Land,Residential
3566723,Marsa Dubai,131.07,2026,189,08-01-2026 18.43,3566723.49,131.07,Unit,Flat
3581698,Ras Al Khor Industrial Second,1109.17,2026,736,02-02-2026 13.34,3581698,1109.17,Land,Workshop
3584379,Wadi Al Safa 5,555,2026,2804,18-06-2026 17.03,3584379,555,Land,Residential
3650562,Dubai Investment Park First,372.5,2026,2154,27-04-2026 12.30,3650562.23,372.5,Building,Villa
3660797,Port Saeed,523.23,2026,1784,06-04-2026 13.06,3660797,523.23,Land,Commercial
3665239,Al Khairan First,143.6,2026,599,26-01-2026 9.08,3665238.57,143.6,Unit,Flat
3674957,Al Bada,227.61,2026,2074,22-04-2026 9.51,3674957,227.61,Land,Residential
3694858,Burj Khalifa,169.96,2026,2622,06-06-2026 23.03,3694857.65,169.96,Unit,Office
3700000,Al Hebiah Third,283.37,2026,175,08-01-2026 11.32,3700000,283.37,Land,Residential
3700000,Muhaisanah First,1115,2026,1906,13-04-2026 13.01,3700000,1115,Land,Residential
3714680,Al Hebiah Sixth,193.98,2026,2963,26-06-2026 12.01,3714679.56,193.98,Unit,Flat
3735278,Burj Khalifa,141.06,2026,1256,24-02-2026 13.01,3735277.59,141.06,Unit,Hotel Apartment
3735988,Al Muteena,694.17,2026,2687,10-06-2026 13.10,3735988,694.17,Land,Commercial
3749874,Al Mizhar Second,929,2026,2575,03-06-2026 12.41,3749874,929,Land,Residential
3750035,Al Bada,232.26,2026,946,10-02-2026 17.18,3750035,232.26,Land,Residential
3754334,Marsa Dubai,259.1,2026,1383,04-03-2026 14.09,3754334.16,259.1,Unit,Flat
3796547,Marsa Dubai,177.74,2026,1977,17-04-2026 8.22,3796547.03,177.74,Unit,Flat
3800000,Jabal Ali First,224,2026,2726,16-06-2026 9.57,3800000,224,Land,Residential
3800000,Jabal Ali First,224,2026,2726,16-06-2026 9.57,3800000,224,Land,Residential
3800000,Al Warqa Third,1115.58,2026,1399,05-03-2026 14.03,3800000,1116,Land,Residential
3800000,Al Goze Fourth,717,2026,2472,20-05-2026 12.37,3800000,717,Land,
3800000,Al Satwa,594.57,2026,2533,01-06-2026 10.48,3800000,594.57,Land,Residential
3819252,Al Khairan First,156.81,2026,2220,03-05-2026 15.52,3819251.76,156.81,Unit,Flat
3819260,Al Khairan First,149.23,2026,591,26-01-2026 8.36,3819259.65,149.23,Unit,Flat
3819260,Al Khairan First,149.23,2026,597,26-01-2026 9.04,3819259.65,149.23,Unit,Flat
3852538,Um Hurair Second,320.44,2026,1803,07-04-2026 14.08,3852538.07,320.44,Unit,Clinic
3855956,Al Khairan First,152.35,2026,671,28-01-2026 23.07,3855956.25,152.35,Unit,Flat
3860889,Marsa Dubai,242.97,2026,1504,16-03-2026 9.50,3860888.52,242.97,Unit,Flat
3875004,Al Layan1,1800,2026,153,07-01-2026 13.06,3875004,1800,Land,Industrial
3888324,Jumeirah First,555.75,2026,324,14-01-2026 8.16,3888324,555.75,Land,Residential
3892216,Me'Aisem First,259.71,2026,466,19-01-2026 11.56,3892216.09,259.71,Building,Villa
3918507,Mirdif,758.42,2026,2885,25-06-2026 7.30,3918507,758.42,Land,Residential / Attached Villas
3924391,Burj Khalifa,159.36,2026,2953,26-06-2026 11.15,3924391.09,159.36,Unit,Flat
3926988,Al Baraha,1042.37,2026,1280,25-02-2026 12.28,3926988,1042.37,Land,Commercial
3935760,Al Wasl,119.22,2026,1707,31-03-2026 20.00,3935760,119.22,Unit,Flat
3937004,Jabal Ali Industrial First,914.4,2026,1470,12-03-2026 10.52,3937004,914.4,Land,
3980302,Business Bay,150.58,2026,1319,27-02-2026 9.12,3980302.47,150.58,Unit,Office
3988831,Al Wasl,160.04,2026,959,11-02-2026 11.25,3988830.59,160.04,Unit,Flat
3995835,Jumeirah First,149.88,2026,1787,06-04-2026 14.20,3995835.45,149.88,Unit,Flat
3999994,Ghadeer Al tair,929.03,2026,1341,02-03-2026 11.31,3999994,929.03,Land,Residential
4000000,Hor Al Anz,231.14,2026,1344,02-03-2026 11.51,4000000,231.19,Land,Residential
4000000,Al Hebiah Sixth,311.37,2026,873,06-02-2026 14.22,4000000,311.37,Building,Villa
4000000,Al Thanayah Fourth,287.3,2026,494,20-01-2026 13.21,4000000,567.92,Building,Villa
4000000,Hadaeq Sheikh Mohammed Bin Rashid,145.29,2026,2490,21-05-2026 11.58,4000000,145.29,Unit,Flat
4000000,Al Warqa Second,1076.83,2026,2181,29-04-2026 8.04,4000000,1076.83,Land,Residential
4000000,Al Goze First,929.03,2026,2096,22-04-2026 13.05,4000000,929.03,Land,Residential
4000000,Al Warqa Third,1217.96,2026,497,20-01-2026 13.47,4000000,1217.96,Land,Residential
4000000,Me'Aisem First,190.4,2026,431,16-01-2026 9.15,4000000,190.4,Land,Residential
4000000,Jabal Ali First,224,2026,559,22-01-2026 17.31,4000000,224,Land,Commercial
4000000,Jabal Ali First,224,2026,559,22-01-2026 17.31,4000000,224,Land,Commercial
4000000,Jabal Ali First,238,2026,1923,13-04-2026 18.01,4000000,238,Land,Commercial
4000000,Al Warqa Second,1150.05,2026,2193,30-04-2026 8.25,4000000,1150.05,Land,Government Housing
4000000,Jumeirah First,203.36,2026,1299,26-02-2026 11.42,4000000,203.36,Land,Residential
4000000,Al Twar First,929.03,2026,2491,21-05-2026 13.12,4000000,929.03,Land,Residential
4000000,Al Warqa Second,1212.38,2026,780,03-02-2026 12.17,4000000,1212.38,Land,Residential
4000000,Al Aweer Second,2065.8,2026,422,16-01-2026 8.31,4000000,2068.42,Land,Residential
4000000,Al Warqa Fourth,948.91,2026,2932,25-06-2026 14.09,4000000,948.91,Land,
4003912,Hor Al Anz,422.7,2026,163,07-01-2026 15.32,4003912,422.7,Land,Commercial
4004007,Hor Al Anz,422.71,2026,844,05-02-2026 14.27,4004007,422.71,Land,Residential
4040273,Al Mararr,268.11,2026,2944,26-06-2026 8.55,4040273,268.11,Land,Commercial
4053215,Al Khairan First,158.61,2026,579,23-01-2026 13.55,4053214.6,158.61,Unit,Flat
4060576,Al Wasl,158.84,2026,1738,01-04-2026 17.15,4060576.34,158.84,Unit,Flat
4077494,Jumeirah Second,541.16,2026,2879,24-06-2026 16.16,4077494,541.16,Land,Residential
4097817,Al Karama,423,2026,872,06-02-2026 11.57,4097817,423,Land,Commercial
4133817,Saih Shuaib 1,1097.27,2026,1284,25-02-2026 14.33,4133817,1097.27,Land,
4134300,Al Thanyah Third,187.39,2026,1221,23-02-2026 20.44,4134300.14,187.39,Unit,Flat
4165000,Al Jafliya,455.22,2026,2976,29-06-2026 9.16,4165000,455.22,Land,Residential
4177771,Wadi Al Safa 6,646.88,2026,1168,19-02-2026 11.50,4177771,646.88,Land,Residential
4194005,Business Bay,158.34,2026,1317,27-02-2026 9.03,4194004.58,158.34,Unit,Office
4200000,Al Twar Second,929.03,2026,542,22-01-2026 10.11,4200000,929.03,Land,Residential
4200009,Al Khawaneej First,1114.84,2026,2881,24-06-2026 19.57,4200009,1114.84,Land,Government Housing
4200047,Al Barshaa South First,1114.85,2026,2426,19-05-2026 10.48,4200047,1114.85,Land,Residential
4201365,Nad Al Hamar,1394,2026,304,13-01-2026 13.24,4201365,1394,Land,Residential
4225434,Al Layan1,1962.78,2026,2844,22-06-2026 17.47,4225434,1962.78,Land,Industrial
4252978,Marsa Dubai,112.89,2026,408,15-01-2026 11.25,4252978,112.89,Unit,Flat
4264057,Burj Khalifa,174.47,2026,48,05-01-2026 11.14,4264057.18,174.47,Unit,Flat
4296991,Burj Khalifa,159.52,2026,1368,04-03-2026 10.14,4296991.11,159.52,Unit,Flat
4300000,Al Suq Al Kabeer,335.94,2026,931,10-02-2026 10.39,4300000,335.94,Land,Commercial
4300000,Marsa Dubai,160.92,2026,1396,05-03-2026 12.30,4300000,160.86,Unit,Flat
4300000,Al Waheda,1335.02,2026,529,21-01-2026 12.41,4300000,1340.87,Land,Commercial
4300000,Al Satwa,232.26,2026,1900,13-04-2026 10.33,4300000,232.26,Land,
4320113,Al Suq Al Kabeer,334.46,2026,860,06-02-2026 9.13,4320113,334.46,Land,Commercial
4320113,Al Suq Al Kabeer,334.46,2026,910,09-02-2026 14.44,4320113,334.46,Land,Commercial
4334850,Al Wasl,137.99,2026,1704,31-03-2026 19.44,4334850,137.99,Unit,Flat
4339617,Al Ttay,2015.82,2026,2053,21-04-2026 10.22,4339617,2015.82,Land,Industrial
4359238,Palm Jumeirah,155.8,2026,580,23-01-2026 14.58,4359237.83,155.8,Unit,Flat
4362639,Zaabeel Second,151.54,2026,2512,22-05-2026 11.18,4362639.21,151.54,Unit,Flat
4399994,Al Qusais Industrial Third,1858.06,2026,23,02-01-2026 16.47,4399994,1858.06,Land,Industrial
4400000,Al Yufrah 1,300,2026,1445,10-03-2026 12.17,4400000,300,Building,Villa
4438578,Palm Jumeirah,185.5,2026,624,26-01-2026 14.59,4438577.62,185.5,Unit,Flat
4440066,Al Qusais Industrial Fifth,2062.48,2026,933,10-02-2026 11.15,4440066,2062.48,Land,
4454850,Al Bada,752.49,2026,940,10-02-2026 14.22,4454850,752.49,Land,Residential
4463850,Mirdif,863.97,2026,2893,25-06-2026 8.10,4463850,863.97,Land,Residential / Villas
4477131,Al Jafliya,924.31,2026,2729,16-06-2026 10.44,4477131,924.31,Land,Residential
4499994,Jabal Ali Industrial First,929.03,2026,958,11-02-2026 11.19,4499994,929.03,Land,
4499994,Al Jafliya,929.03,2026,3011,30-06-2026 9.01,4499994,929.03,Land,Residential
4500000,Jabal Ali First,224,2026,2705,11-06-2026 12.55,4500000,224,Land,Residential
4500000,Al Aweer First,1150.77,2026,9,02-01-2026 9.58,4500000,1150.77,Land,
4500000,Jabal Ali First,224,2026,2705,11-06-2026 12.55,4500000,224,Land,Residential
4500000,Jumeirah First,585.29,2026,928,10-02-2026 10.19,4500000,585.29,Land,Residential
4500000,Al Rashidiya,1952.63,2026,412,15-01-2026 13.38,4500000,1950.96,Land,Residential
4500000,Al Barshaa South First,1185.07,2026,7,02-01-2026 8.25,4500000,1185.07,Land,Government Housing
4500000,Muhaisanah Third,2108.81,2026,2798,18-06-2026 13.51,4500000,2108.81,Land,Residential
4500000,Al Wasl,464.52,2026,337,14-01-2026 9.23,4500000,464.52,Land,Residential
4500000,Saih Shuaib 1,1138.55,2026,1711,01-04-2026 7.32,4500000,1138.55,Land,
4500000,Al Warqa Second,1358.24,2026,2874,24-06-2026 13.25,4500000,1358.24,Land,Residential
4500000,Al Goze Industrial Third,1858.06,2026,1888,10-04-2026 15.03,4500000,1858.06,Land,Industrial
4500000,Al Goze First,929.03,2026,62,05-01-2026 16.21,4500000,929.03,Land,Residential
4500000,Al Rashidiya,1858.05,2026,309,13-01-2026 14.28,4500000,1858.06,Land,Residential
